math1,port3,port1,address
1,5,5,R
2,5,3,R
3,0,6,R
3,4,4,R
3,5,6,R
3,5,7,R
4,5,7,R
4,5,7,R
4,6,7,R
4,6,8,R
4,7,8,R
5,5,5,R
5,5,6,R
5,6,6,R
5,6,7,R
5,7,7,R
5,7,8,R
5,7,8,R
5,8,9,R
6,6,7,R
6,6,7,R
6,7,7,R
6,9,8,R
7,0,0,R
7,5,4,R
7,6,5,R
7,6,6,R
8,5,4,R
8,7,7,R
8,9,10,R
9,7,9,R
9,9,10,R
10,8,8,R
2,5,2,U
3,0,1,U
3,2,2,U
3,3,2,U
3,3,3,U
3,3,3,U
3,4,4,U
3,4,5,U
3,5,5,U
3,5,6,U
3,6,6,U
4,3,3,U
4,4,3,U
4,4,4,U
4,5,4,U
4,5,5,U
4,5,5,U
4,6,6,U
4,6,7,U
4,7,7,U
5,1,3,U
5,4,2,U
5,5,5,U
5,5,6,U
5,5,6,U
5,6,7,U
5,6,7,U
5,7,7,U
5,7,8,U
5,8,7,U
6,5,4,U
6,5,5,U
6,6,5,U
6,6,5,U
6,7,6,U
6,7,7,U
6,8,7,U
6,8,8,U
7,5,4,U
7,5,4,U
7,6,6,U
7,6,7,U
7,7,8,U
7,7,8,U
7,8,8,U
7,8,8,U
7,9,9,U
8,6,7,U
8,7,7,U
8,7,7,U
8,8,8,U
8,8,9,U
9,7,7,U
9,8,8,U
9,9,10,U
10,7,7,U
10,9,8,U
